entry_time,exit_time,direction,entry_price,stop_loss,take_profit,exit_price,exit_reason,pnl,r_multiple,winner
2025-11-19 17:00:00,2025-11-25 08:00:00,SELL,4073.9,4160.62,3905.86,4160.62,Stop Loss,-86.72,-1.0,N
2025-11-25 15:00:00,2025-11-25 15:00:00,SELL,4121.0,4227.34,4140.97,4140.97,Take Profit,-19.97,-0.19,N
2025-11-25 16:00:00,2025-11-25 16:00:00,SELL,4117.8,4230.6,4142.84,4142.84,Take Profit,-25.04,-0.22,N
2025-11-25 19:00:00,2025-11-28 14:30:00,SELL,4130.9,4242.68,3909.74,4242.68,Stop Loss,-111.78,-1.0,N
2025-11-28 15:30:00,2025-12-23 00:00:00,BUY,4234.5,4099.05,4502.4,4502.4,Take Profit,267.9,1.98,Y
2025-12-23 04:00:00,2025-12-23 14:00:00,SELL,4519.0,4546.65,4472.49,4472.49,Take Profit,46.51,1.68,Y
2025-12-23 17:00:00,2025-12-23 17:00:00,BUY,4502.4,4449.24,4506.84,4506.84,Take Profit,4.44,0.08,Y
2025-12-24 01:00:00,2025-12-24 02:00:00,SELL,4538.7,4566.23,4513.29,4513.29,Take Profit,25.41,0.92,Y
2025-12-24 03:00:00,2025-12-26 15:00:00,SELL,4508.2,4574.82,4374.97,4574.82,Stop Loss,-66.62,-1.0,N
2025-12-26 17:00:00,2025-12-29 00:00:00,SELL,4569.6,4611.96,4531.92,4531.92,Take Profit,37.68,0.89,Y
2025-12-29 02:00:00,2025-12-29 07:00:00,BUY,4520.4,4485.57,4548.36,4485.57,Stop Loss,-34.83,-1.0,N
2025-12-29 10:00:00,2025-12-29 13:00:00,BUY,4493.2,4446.08,4537.1,4446.08,Stop Loss,-47.12,-1.0,N
2025-12-29 18:00:00,2025-12-31 05:00:00,BUY,4347.3,4294.1,4450.41,4294.1,Stop Loss,-53.2,-1.0,N
2025-12-31 07:00:00,2026-01-02 05:00:00,BUY,4340.1,4272.67,4370.1,4370.1,Take Profit,30.0,0.44,Y
2026-01-02 09:00:00,2026-01-02 15:00:00,SELL,4398.1,4434.59,4347.09,4347.09,Take Profit,51.01,1.4,Y
2026-01-06 05:00:00,2026-01-06 21:00:00,SELL,4477.1,4505.36,4451.61,4505.36,Stop Loss,-28.26,-1.0,N
2026-01-07 07:00:00,2026-01-08 05:00:00,BUY,4455.2,4429.63,4486.25,4429.63,Stop Loss,-25.57,-1.0,N
2026-01-08 07:00:00,2026-01-08 15:00:00,BUY,4442.2,4411.79,4457.79,4457.79,Take Profit,15.59,0.51,Y
2026-01-09 00:00:00,2026-01-09 15:00:00,SELL,4484.8,4514.55,4452.49,4514.55,Stop Loss,-29.75,-1.0,N
2026-01-09 18:00:00,2026-01-11 23:00:00,SELL,4492.8,4538.6,4485.61,4538.6,Stop Loss,-45.8,-1.0,N
2026-01-12 03:00:00,2026-01-12 13:00:00,SELL,4588.7,4621.55,4525.09,4621.55,Stop Loss,-32.85,-1.0,N
2026-01-13 16:00:00,2026-01-13 16:00:00,SELL,4626.9,4658.38,4604.61,4604.61,Take Profit,22.29,0.71,Y
2026-01-13 17:00:00,2026-01-13 17:00:00,SELL,4621.5,4659.75,4604.69,4604.69,Take Profit,16.81,0.44,Y
2026-01-13 23:00:00,2026-01-13 23:00:00,BUY,4595.1,4549.68,4604.35,4604.35,Take Profit,9.25,0.2,Y
2026-01-14 07:00:00,2026-01-14 14:00:00,SELL,4643.9,4675.43,4615.85,4615.85,Take Profit,28.05,0.89,Y
2026-01-15 01:00:00,2026-01-15 01:00:00,BUY,4620.3,4589.29,4634.62,4589.29,Stop Loss,-31.01,-1.0,N
2026-01-15 03:00:00,2026-01-16 15:00:00,BUY,4607.4,4577.89,4632.07,4577.89,Stop Loss,-29.51,-1.0,N
2026-01-16 17:00:00,2026-01-16 21:59:55,BUY,4597.0,4554.01,4605.53,4595.4,End of data,-1.6,-0.04,N
